TEAM_ID,ABBREVIATION,NICKNAME,CITY,HEADCOACH
1610612766,CHA,Hornets,Charlotte,James Borrego
1610612754,IND,Pacers,Indiana,Nate McMillan
1610612762,UTA,Jazz,Utah,Quin Snyder
1610612756,PHX,Suns,Phoenix,Monty Williams
1610612747,LAL,Lakers,Los Angeles,Frank Vogel
1610612748,MIA,Heat,Miami,Erik Spoelstra
1610612739,CLE,Cavaliers,Cleveland,John Beilein
1610612763,MEM,Grizzlies,Memphis,Taylor Jenkins
1610612751,BKN,Nets,Brooklyn,Kenny Atkinson
1610612737,ATL,Hawks,Atlanta,Lloyd Pierce
1610612742,DAL,Mavericks,Dallas,Rick Carlisle
1610612755,PHI,76ers,Philadelphia,Brett Brown
1610612743,DEN,Nuggets,Denver,Michael Malone
1610612752,NYK,Knicks,New York,David Fizdale
1610612750,MIN,Timberwolves,Minnesota,Ryan Saunders
1610612761,TOR,Raptors,Toronto,Nick Nurse
1610612738,BOS,Celtics,Boston,Brad Stevens
1610612740,NOP,Pelicans,New Orleans,Alvin Gentry
1610612764,WAS,Wizards,Washington,Scott Brooks
1610612741,CHI,Bulls,Chicago,Jim Boylen
1610612760,OKC,Thunder,Oklahoma City,Billy Donovan
1610612765,DET,Pistons,Detroit,Dwane Casey
1610612757,POR,Trail Blazers,Portland,Terry Stotts
1610612744,GSW,Warriors,Golden State,Steve Kerr
1610612759,SAS,Spurs,San Antonio,Gregg Popovich
1610612746,LAC,Clippers,Los Angeles,Doc Rivers
1610612749,MIL,Bucks,Milwaukee,Mike Budenholzer
1610612753,ORL,Magic,Orlando,Steve Clifford
1610612758,SAC,Kings,Sacramento,Luke Walton
1610612745,HOU,Rockets,Houston,Mike D'Antoni
